"player_id","team","player","position","pos_purity","minutes","passes_p90","passes_completed_p90","long_passes_p90","key_passes_p90","assists_p90","carries_p90","shots_p90","goals_p90","xg_p90","dribbles_p90","dribbles_completed_p90","pressures_p90","ball_recoveries_p90","interceptions_p90","clearances_p90","blocks_p90","duels_p90","tackles_p90","fouls_p90","dispossessed_p90","miscontrols_p90","ball_receipts_p90","pass_completion_pct","dribble_success_pct","avg_pass_length","mean_x","mean_y","sd_x","sd_y","f3_share","d3_share","position_group","purity6"
31911,"Gazélec Ajaccio","Damjan Đoković","Left Center Midfield",0.538,2389.1,47.579,32.586,14.202,1.695,0.151,31.719,1.545,0.075,0.095,0.264,0.151,20.531,4.822,0.753,1.959,1.733,3.202,1.733,2.411,0.716,0.979,40.421,0.685,0.571,24.02,62.43,25.1,24.43,18.47,0.242,0.187,"DM_CM",0.847
3193,"AS Monaco","Bernardo Mota Veiga de Carvalho e Silva","Right Wing",0.383,2333.6,39.532,30.006,6.672,1.62,0.039,40.419,1.543,0.27,0.188,3.51,2.044,25.647,5.515,0.733,0.54,2.738,4.32,1.774,1.311,3.163,2.275,54.419,0.759,0.582,18.68,75.21,47.07,24.42,25.76,0.466,0.093,"AM_W",0.965
3195,"Rennes","Mehdi Zeffane","Right Back",0.374,856,48.993,38.375,6.098,0.526,0.105,36.692,1.367,0.105,0.06,1.156,0.315,15.876,5.467,1.682,0.946,2.523,5.257,2.944,0.841,1.262,1.577,41.318,0.783,0.273,17.47,59.45,53.94,27.28,28.07,0.257,0.273,"FB",0.773
3196,"Bordeaux","Wahbi Khazri","Center Attacking Midfield",0.307,1626.5,42.22,27.833,11.344,2.656,0.387,38.292,2.269,0.277,0.294,2.767,1.494,20.861,5.146,0.775,0.443,2.545,3.873,2.158,1.549,3.32,2.822,52.347,0.659,0.54,21.56,74.95,37.49,24.46,25.34,0.425,0.084,"AM_W",0.948
3196,"Sunderland","Wahbi Khazri","Left Midfield",0.885,1104.8,34.296,22.077,11.079,2.444,0.081,30.793,2.037,0.163,0.064,2.851,1.385,23.462,5.214,1.466,0.733,1.548,4.318,2.77,1.711,2.525,1.955,39.266,0.644,0.486,23.81,71.63,27.43,27.51,23.9,0.412,0.149,"AM_W",1
3200,"Saint-Étienne","Renaud Cohade","Left Center Midfield",0.369,1089.4,58.323,39.901,11.565,1.239,0.165,41.305,0.909,0,0.03,1.404,0.33,29.575,6.691,0.661,0.661,2.313,7.765,4.461,2.478,0.991,1.983,56.671,0.684,0.235,19.49,66.68,40.41,23.13,24.63,0.281,0.133,"DM_CM",0.697
3203,"Angers","Yoann Andreu","Left Back",0.89,2827.4,50.388,38.229,8.117,0.318,0.032,32.627,0.159,0,0.006,1.432,0.732,12.955,4.329,1.719,2.578,2.928,3.279,2.005,1.273,0.764,0.796,32.085,0.759,0.511,19.59,52.39,16.98,27.66,20.66,0.18,0.376,"FB",1
32037,"Frosinone","Nicola Leali","Goalkeeper",1,3105.5,28.431,15.534,22.982,0.058,0,9.854,0,0,0,0,0,0.058,3.768,0,0,0,0,0,0,0,0,7.042,0.546,0,52.44,8.44,40.59,7.17,7.46,0,0.991,"GK",1
3204,"AS Monaco","Almamy Touré","Right Back",1,791.4,52.765,37.527,8.756,0.682,0.227,31.955,1.137,0.341,0.179,2.161,0.91,13.305,3.298,1.251,4.435,2.729,3.639,1.819,1.592,1.706,1.023,38.209,0.711,0.421,20.83,61.34,69.34,29.08,9.98,0.291,0.245,"FB",1
3205,"Tottenham Hotspur","Kyle Walker","Right Back",0.999,3070.3,50.77,38.547,11.842,0.938,0.059,32.391,0.586,0.029,0.026,1.407,0.586,14.275,5.306,1.905,3.283,1.495,3.899,2.609,0.967,0.674,0.967,33.622,0.759,0.417,22.58,58.02,68.72,29.06,10.62,0.258,0.298,"FB",0.999
